TITLE|DEVICE_TYPE|OS|BRAND|PRICE|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|CAMERA_FRONT|CAMERA_BACK|SCREEN_SIZE|SCREEN_TYPE|SCREEN_RESOLUTION|GPU|CPU|CPU_CORES|WEIGHT|PRODUCT_SIZE|RAM|EXTERNAL_MEMORY|BATTERY_CAPACITY|ROM|SIM_CARD_SLOT
lenovo tab 2 a7-30 android 4.4 phablet|tablet pc |android 4.4 ||$125.18|||gsm 850/900/1800/1900mhz |gsm ||0.3mp |2.0mp (with flash light) |7 inch |capacitive |1024 x 600 (wsvga) |mali-450mp |mtk8382 |quad core,1.3ghz |0.269 kg |19.1 x 10.5 x 0.89 cm / 7.51 x 4.13 x 0.35 inches |1gb |tf card up to 64gb (not included) |3450mah |16gb |yes (1 x micro sim card slot),single sim,single standby 
huawei m2 ( m2-801w ) 8.0 inch tablet pc|tablet pc |android 5.1 |huawei |$231.33|||||802.11 a/b/g/n/ac wireless internet |2.0mp |8.0mp,with flash light and af |8 inch |capacitive (10-point),ips |1920 x 1200 (wuxga) |mali-t628 mp4 |hisilicon kirin 930 |2.0ghz,octa core |0.3300 kg |21.48 x 12.40 x 0.78 cm / 8.46 x 4.88 x 0.31 inches |3gb |tf card up to 128gb (not included) |4800mah, li-ion polymer battery |32gb |
xiaomi mi pad 3 tablet pc||miui 8 |xiaomi |$229.99|||||802.11 a/b/g/n/ac wireless internet |5.0mp |13.0mp |7.9 inch |capacitive |2048 x 1536 (qxga) |img gx6250 |mtk8176 |2.1ghz,dual-core 2.1 ghz +quad-core 1.7 ghz |0.3280 kg |19.90 x 13.20 x 0.80 cm / 7.83 x 5.2 x 0.31 inches |4gb ||3.7v / 6600mah |64gb |
huawei honor t3 ( kob-l09 ) 4g phablet 3gb + 32gb|phablet |android 7.0 |huawei ||fdd-lte 800/850/900/1800/2100/2600mhz,td-lte band 38/39/40/41 |td-scdma (b34/b39) wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte,gsm,td-scdma,tdd-lte,wcdma |802.11 a/b/g/n/ac wireless internet |2.0mp |5.0mp |8 inch |capacitive |1280 x 800 (wxga) |adreno 308 |qualcomm snapdragon 425 |1.4ghz,quad core |0.3500 kg |21.10 x 12.47 x 0.80 cm / 8.31 x 4.91 x 0.31 inches |3gb |tf card up to 128gb (not included) |4800mah, li-ion polymer battery |32gb |nano sim card slot,single sim 
5 inch gpd xd game tablet pc|game tablet |android 4.4 |gpd |$139.99|||||802.11b/g/n wireless internet |||5 inch |capacitive |1280 x 720 (hd 720) |mali-764 |rk3288 |600mhz,quad core |0.3130 kg |15.40 x 8.80 x 2.40 cm / 6.06 x 3.46 x 0.94 inches |2gb ||6000mah |32gb |
huawei honor pad 2 ( jdn-al00 ) emui 4.0|phablet |android 6.0 |huawei |$204.99|fdd-lte 1800/2100/2600mhz tdd-lte (b38/b39/b40/b41|td-scdma (b34/b39) wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm + wcdma + td-scdma + lte-fdd + td-lte |802.11 a/b/g/n/ac wireless internet |2.0mp |8.0mp,with flash light and af |8 inch |capacitive (10-point),ips |1920 x 1200 (wuxga) |adreno-405 |qualcomm snapdragon 616 |1.5ghz,octa core |0.3300 kg |20.80 x 12.20 x 0.80 cm / 8.19 x 4.8 x 0.31 inches |3gb |tf card up to 128gb (not included) |4800mah, li-ion polymer battery |32gb |micro sim card slot 
lenovo yoga a12 yb - q501f 2 in 1 tablet pc|tablet pc |android 6.0 |lenovo |$458.68|||||802.11b/g/n wireless internet |||12.2 inch |capacitive |1280 x 800 (wxga) |gen8-lp10 |intel cherry trail z8550 |2.4ghz,quad core |0.9900 kg |28.06 x 20.48 x 1.09 cm / 11.05 x 8.06 x 0.43 inches |2gb |tf card up to 128gb (not included) |10500mah, li-ion polymer battery |32gb |
jumper ezpad 4s pro tablet pc|tablet pc |windows 10 |jumper |$134.99|||||802.11b/g/n wireless internet |0.3mp ||10.6 inch |capacitive (5-point) |1920 x 1080 (fhd) |intel hd graphics 400 |intel cherry trail x5-z8350 |1.44ghz,quad core |0.6500 kg |27.70 x 16.90 x 0.80 cm / 10.91 x 6.65 x 0.31 inches |4gb |tf card up to 128gb (not included) |3.7v / 6600mah |64gb |
chuwi hi10 pro 2 in 1 ultrabook tablet pc with keyboard|ultrabook,with keyboard |windows 10 + android 5.1 |chuwi |$199.99|||||802.11b/g/n wireless internet |2.0mp |2.0mp |10.1 inch |capacitive,ips |1920 x 1200 (wuxga) |intel hd graphic(gen8) |intel atom x5-z8350 |1.44ghz,quad core |1.1070 kg |26.70 x 17.40 x 2.70 cm / 10.51 x 6.85 x 1.06 inches |4gb |tf card up to 128gb (not included) |3.7v/6500mah |64gb |
nabi dmtab - in08a kids tablet pc|kids tablet |android 4.4 ||$104.76|||||802.11b/g/n wireless internet |2.0mp |5.0mp with af |8 inch |capacitive (5-point) |1920 x 1200 (wuxga) |intel hd graphic |z3745 |1.2ghz,quad core |0.6630 kg |23.64 x 16.24 x 2.11 cm / 9.31 x 6.39 x 0.83 inches |2gb |tf card up to 32gb (not included) |built-in, 3.7v / 4500mah, li-ion polymer battery |16gb |
lenovo tb3 730m 4g phablet 2gb + 16gb|phablet |android 6.0 |lenovo |$169.2|fdd-lte 1800/2100mhz,td-lte band 38/39/40/41 |wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte,gsm,tdd-lte,wcdma |802.11b/g/n wireless internet |2.0mp |5.0mp |7 inch |capacitive |1024 x 600 (wsvga) |mali-t720 |mtk8735p |1ghz,quad core |0.2600 kg |19.10 x 10.00 x 0.88 cm / 7.52 x 3.94 x 0.35 inches |2gb |tf card up to 32gb (not included) |3.7v / 3450mah, li-ion polymer battery |16gb |yes (1 x micro sim card slot) 
5 inch gpd xd game tablet pc|game tablet |android 4.4 |gpd |$179.0|||||802.11b/g/n wireless internet |||5 inch |capacitive |1280 x 720 (hd 720) |mali-764 |rk3288 |600mhz,quad core |0.313 kg |15.50 x 8.90 x 2.40 cm / 6.1 x 3.5 x 0.94 inches |2gb ||6000mah |32gb |
gbtiger l1008 android 5.1 tablet pc||android 5.1 ||$94.01||||||||||1024x600 ||allwinner a33 |quad core |0.563 kg |26.10 x 16.50 x 0.80 cm / 10.28 x 6.5 x 0.31 inches |1gb ||5500mah |8gb |
teclast tbook 11 2 in 1 ultrabook tablet pc|ultrabook,umpc |windows 10 + android 5.1 |teclast |$172.16|||||802.11b/g/n wireless internet |2.0mp |2.0mp |10.6 inch |capacitive,ips,retina |1920 x 1080 (fhd) |intel hd graphic(gen8) |cherry trail z8300 |1.44ghz,quad core |0.6250 kg |27.50 x 16.97 x 0.84 cm / 10.83 x 6.68 x 0.33 inches |4gb |tf card up to 128gb (not included) |3.8v/7500mah |64gb |
lenovo yoga book x90f 2 in 1 tablet pc||||$507.51||||||||||||||||||||
chuwi hi10 pro 2 in 1 ultrabook tablet pc|ultrabook,drawing |windows 10 + android 5.1 |chuwi |$192.28|||||802.11b/g/n wireless internet |2.0mp |2.0mp |10.1 inch |capacitive,ips |1920 x 1200 (wuxga) |intel hd graphic(gen8) |intel cherry trail x5-z8350 |1.44ghz,quad core |0.562 kg |26.18 x 16.73 x 0.85 cm / 10.31 x 6.59 x 0.33 inches |4gb |tf card up to 128gb (not included) |3.7v/6500mah |64gb |
gbtiger l1008 10.1 inch tablet pc||android 5.1 ||$90.39||||||||||1024x600 ||allwinner a33 |quad core |0.563 kg|26.10 x 16.50 x 0.80 cm / 10.28 x 6.5 x 0.31 inches |1gb ||5500mah |8gb |
hipo m108 3g phablet|phablet |android 4.4 |hipo |$88.81||wcdma 2100mhz |gsm 850/900/1800/1900mhz ||802.11b/g/n wireless internet |0.3mp |2.0mp |10.1 inch |capacitive (5-point) |1280 x 800 (wxga) |mali-400 mp |mtk6582 |1.34ghz,quad core |0.4720 kg |24.00 x 17.00 x 0.90 cm / 9.45 x 6.69 x 0.35 inches |1gb |tf card up to 128gb (not included) ||16gb |dual sim,dual standby,standard sim card slot 
lenovo tab 2 a10 - 70f tablet pc|tablet pc |android 5.0 |lenovo |$274.32|||||wifi 802.11a/b/g/n wireless internet |5.0mp |8.0mp |10.1 inch |capacitive (10-point) |1920 x 1200 (wuxga) |mali-t760 mp2 |mtk8165 |1.7ghz,quad core |0.5100 kg |17.10 x 20.00 x 0.89 cm / 6.73 x 7.87 x 0.35 inches |2gb |tf card up to 128gb (not included) |7000mah |16gb |
